course_id,prerequisite_id
1,1
1,2
1,3
1,4
1,6
2,1
2,2
2,3
2,4
2,5
2,7
5,1
5,2
5,3
5,6
5,17
7,1
7,2
7,3
7,6
11,19
12,28
13,19
14,19
20,24
22,1
22,2
22,3
23,2
24,1
24,2
24,3
24,6
24,21
24,87
25,1
25,2
25,3
25,12
25,22
26,1
26,2
26,3
26,4
26,5
26,7
26,24
27,1
27,2
27,3
27,6
28,1
28,2
28,3
28,6
29,1
29,2
29,3
29,6
29,17
31,1
31,2
31,3
31,6
31,23
31,89
33,1
33,2
33,3
33,6
33,14
33,15
36,24
37,25
38,1
38,2
38,3
38,4
38,5
38,7
38,24
39,1
39,2
39,3
39,8
39,9
39,12
40,1
40,2
40,3
40,6
41,1
41,2
41,3
41,6
41,16
43,1
43,2
44,1
44,2
45,1
45,2
46,1
46,2
46,3
46,6
46,11
47,1
47,2
47,3
47,6
47,16
48,1
48,2
48,3
52,26
52,27
54,27
55,30
56,30
57,28
59,30
59,31
59,32
60,40
61,40
62,64
62,74
63,33
64,74
64,79
65,35
66,30
66,31
66,32
67,67
69,40
70,46
71,40
72,36
72,41
72,50
73,33
73,34
74,38
75,62
76,35
77,38
78,38
78,88
79,39
80,42
81,32
81,40
82,44
83,40
84,42
85,43
86,40
86,87
87,41
87,44
88,40
90,40
92,45
97,14
97,69
100,27
101,30
102,30
103,30
103,31
104,3
104,40
105,31
106,40
106,47
107,47
108,40
108,68
109,30
110,40
111,40
112,3
112,31
112,50
113,40
113,47
114,30
114,31
114,48
114,70
115,30
116,30
116,31
116,32
117,31
118,49
119,55
120,30
121,20
121,30
122,30
123,53
124,51
124,56
125,57
126,36
126,50
127,41
128,36
128,53
129,36
129,41
129,50
130,36
130,40
131,54
132,40
133,31
134,47
135,32
135,40
136,54
136,87
137,55
138,40
139,40
140,45
141,45
142,45
143,30
144,59
145,54
145,58
146,52
147,54
147,58
147,74
149,53
150,60
151,53
152,61
155,1
155,2
155,3
155,6
155,11
160,1
160,2
160,3
160,6
160,63
161,1
161,2
161,3
161,11
161,63
164,26
164,27
166,64
167,28
169,29
169,65
170,64
170,74
171,33
172,67
173,40
174,38
175,66
176,35
177,38
178,38
178,88
179,38
185,1
185,2
187,1
187,2
187,3
187,6
187,16
188,1
188,2
188,3
188,6
188,13
189,1
189,2
189,3
189,5
189,6
189,86
191,1
191,2
191,3
191,6
193,1
193,2
193,3
193,6
193,14
195,1
195,2
195,3
195,6
195,73
195,77
198,1
198,2
198,3
198,6
198,10
198,16
200,72
201,1
201,2
201,3
201,6
201,86
203,1
203,2
203,3
203,6
203,13
204,1
204,2
204,3
204,4
204,5
204,7
205,1
205,2
205,3
205,6
205,16
207,69
208,70
209,71
210,72
211,71
212,71
213,1
213,2
213,3
213,6
213,48
214,75
215,1
215,2
215,3
216,1
216,2
216,3
216,6
216,12
217,69
218,70
218,76
219,70
219,72
219,76
220,72
220,73
220,77
220,78
221,1
221,2
221,3
221,6
221,72
221,73
221,76
223,1
223,2
223,3
223,6
223,18
224,1
224,2
224,3
224,6
224,80
225,80
227,81
228,82
229,83
230,84
231,85
232,1
232,2
232,3
232,6
232,70
233,74
233,86
234,1
234,2
234,3
234,6
234,37
234,72
235,1
235,2
235,3