course_id,crosslisted_course_id
20,16
26,38
34,37
35,34
38,26
50,98
51,99
52,164
54,100
55,101
55,51
55,99
56,102
57,167
61,110
62,170
63,60
63,171
66,116
67,172
69,173
72,129
74,174
76,176
77,177
78,178
79,179
81,135
88,138
90,139
91,180
92,142
98,50
99,51
100,54
101,55
101,57
101,99
102,56
107,106
110,61
116,66
129,72
135,81
138,88
139,90
142,92
164,52
167,57
170,62
171,63
172,67
173,69
174,74
176,76
177,77
178,78
179,79
180,91
211,210